REGION,YEAR,PUBSCEN,value
EU_NORTH,2040,Barriers to Blue Growth,2105.2259912551954
EU_NORTH,2040,Blue Transformation,2389.8734411652567
EU_NORTH,2050,BAU,2273.99152787476
EU_NORTH,2050,Barriers to Blue Growth,2051.302884991501
EU_NORTH,2050,Blue Transformation,2501.42131380039
EU_SOUTH,2000,BAU,2286.49350005
EU_SOUTH,2000,Barriers to Blue Growth,2286.49350005
EU_SOUTH,2000,Blue Transformation,2286.49350005
EU_SOUTH,2010,BAU,2069.19128345
EU_SOUTH,2010,Barriers to Blue Growth,2069.19128345
EU_SOUTH,2010,Blue Transformation,2069.19128345
EU_SOUTH,2020,BAU,1997.91981065
EU_SOUTH,2020,Barriers to Blue Growth,1997.91981065
EU_SOUTH,2020,Blue Transformation,1997.91981065
EU_SOUTH,2030,BAU,1955.1987752320686
EU_SOUTH,2030,Barriers to Blue Growth,1903.2787582308483
EU_SOUTH,2030,Blue Transformation,2050.541662459906
EU_SOUTH,2040,BAU,1994.2537136034991
EU_SOUTH,2040,Barriers to Blue Growth,1879.3466624534049
EU_SOUTH,2040,Blue Transformation,2161.45901095248
EU_SOUTH,2050,BAU,2035.834957242146
EU_SOUTH,2050,Barriers to Blue Growth,1886.6236503170994
EU_SOUTH,2050,Blue Transformation,2252.6358027147908
FORMER_USSR,2000,BAU,91.370123
FORMER_USSR,2000,Barriers to Blue Growth,91.370123
FORMER_USSR,2000,Blue Transformation,91.370123
FORMER_USSR,2010,BAU,156.33771339999998
FORMER_USSR,2010,Barriers to Blue Growth,156.33771339999998
FORMER_USSR,2010,Blue Transformation,156.33771339999998
FORMER_USSR,2020,BAU,493.7254812
FORMER_USSR,2020,Barriers to Blue Growth,493.7254812
FORMER_USSR,2020,Blue Transformation,493.7254812
FORMER_USSR,2030,BAU,526.8053939102493
FORMER_USSR,2030,Barriers to Blue Growth,510.5266757028129
FORMER_USSR,2030,Blue Transformation,528.2699833404631
FORMER_USSR,2040,BAU,545.210671218126
FORMER_USSR,2040,Barriers to Blue Growth,511.3576058325319
FORMER_USSR,2040,Blue Transformation,562.8562264514521
FORMER_USSR,2050,BAU,561.6843137119744
FORMER_USSR,2050,Barriers to Blue Growth,509.18694313515556
FORMER_USSR,2050,Blue Transformation,597.4271274550282
INDIAREG,2000,BAU,5679.15178995
INDIAREG,2000,Barriers to Blue Growth,5679.15178995
INDIAREG,2000,Blue Transformation,5679.15178995
INDIAREG,2010,BAU,8462.960284499999
INDIAREG,2010,Barriers to Blue Growth,8462.960284499999
INDIAREG,2010,Blue Transformation,8462.960284499999
INDIAREG,2020,BAU,13518.66588455
INDIAREG,2020,Barriers to Blue Growth,13518.66588455
INDIAREG,2020,Blue Transformation,13518.66588455
INDIAREG,2030,BAU,15450.347881926857
INDIAREG,2030,Barriers to Blue Growth,15017.51105316946
INDIAREG,2030,Blue Transformation,15017.204119007722
